tn,tp,fp,fn,Accuracy_Score,seed,feature_set,ROC-AUC,MCC,Sensitivity,Specificity,Recall_Sensitivity,Precision,Recall_Specificity
37,21,1,1,0.9666666666666667,2505,AD_guild_split,0.9641148325358853,0.9282296650717703,0.9545454545454546,0.9736842105263158,0.9545454545454546,0.9545454545454546,0.9736842105263158
31,5,6,18,0.6,2622,clinical_base,0.5276145710928319,0.06939668022201866,0.21739130434782608,0.8378378378378378,0.21739130434782608,0.45454545454545453,0.8378378378378378
33,8,4,15,0.6833333333333333,2622,clinical_guild,0.6198589894242068,0.2913762473312009,0.34782608695652173,0.8918918918918919,0.34782608695652173,0.6666666666666666,0.8918918918918919
32,9,5,14,0.6833333333333333,2622,clinical_guild_split,0.6280846063454759,0.2944752369310035,0.391304347826087,0.8648648648648649,0.391304347826087,0.6428571428571429,0.8648648648648649
34,9,3,14,0.7166666666666667,2622,brain_base,0.6551116333725029,0.3770751436050835,0.391304347826087,0.918918918918919,0.391304347826087,0.75,0.918918918918919
33,6,4,17,0.65,2622,brain_guild,0.5763807285546416,0.19929369997170918,0.2608695652173913,0.8918918918918919,0.2608695652173913,0.6,0.8918918918918919
32,9,5,14,0.6833333333333333,2622,brain_guild_split,0.6280846063454759,0.2944752369310035,0.391304347826087,0.8648648648648649,0.391304347826087,0.6428571428571429,0.8648648648648649
36,22,1,1,0.9666666666666667,2622,AD_base,0.964747356051704,0.9294947121034077,0.9565217391304348,0.972972972972973,0.9565217391304348,0.9565217391304348,0.972972972972973
36,22,1,1,0.9666666666666667,2622,AD_guild,0.964747356051704,0.9294947121034077,0.9565217391304348,0.972972972972973,0.9565217391304348,0.9565217391304348,0.972972972972973
36,22,1,1,0.9666666666666667,2622,AD_guild_split,0.964747356051704,0.9294947121034077,0.9565217391304348,0.972972972972973,0.9565217391304348,0.9565217391304348,0.972972972972973
34,4,5,17,0.6333333333333333,6917,clinical_base,0.5311355311355311,0.08318056815751451,0.19047619047619047,0.8717948717948718,0.19047619047619047,0.4444444444444444,0.8717948717948718
33,3,6,18,0.6,6917,clinical_guild,0.49450549450549447,-0.014678923792502562,0.14285714285714285,0.8461538461538461,0.14285714285714285,0.3333333333333333,0.8461538461538461
36,7,3,14,0.7166666666666667,6917,clinical_guild_split,0.6282051282051282,0.3281650616569468,0.3333333333333333,0.9230769230769231,0.3333333333333333,0.7,0.9230769230769231
37,6,2,15,0.7166666666666667,6917,brain_base,0.6172161172161171,0.32893691312298384,0.2857142857142857,0.9487179487179487,0.2857142857142857,0.75,0.9487179487179487
36,5,3,16,0.6833333333333333,6917,brain_guild,0.5805860805860806,0.2261441277720514,0.23809523809523808,0.9230769230769231,0.23809523809523808,0.625,0.9230769230769231
