,tn,tp,fp,fn,accuracy_score,seed,feature_set,ROC-AUC,MCC,sensitivity,specificity,recall_sensitivity,precision,recall_specificty
152,52,27,0,1,0.9875,8280,AD_guild_split,0.9821428571428572,0.9726724238945256,0.9642857142857143,1.0,0.9642857142857143,1.0,1.0
153,44,10,8,18,0.675,9864,clinical_base,0.6016483516483517,0.23220893480841856,0.35714285714285715,0.8461538461538461,0.35714285714285715,0.5555555555555556,0.8461538461538461
154,44,8,8,20,0.65,9864,clinical_guild,0.5659340659340659,0.15724272550828775,0.2857142857142857,0.8461538461538461,0.2857142857142857,0.5,0.8461538461538461
155,47,12,5,16,0.7375,9864,clinical_guild_split,0.6662087912087913,0.38758765749311336,0.42857142857142855,0.9038461538461539,0.42857142857142855,0.7058823529411765,0.9038461538461539
156,48,10,4,18,0.725,9864,brain_base,0.6401098901098902,0.3517576004121235,0.35714285714285715,0.9230769230769231,0.35714285714285715,0.7142857142857143,0.9230769230769231
157,48,6,4,22,0.675,9864,brain_guild,0.5686813186813187,0.19810721293758182,0.21428571428571427,0.9230769230769231,0.21428571428571427,0.6,0.9230769230769231
158,46,7,6,21,0.6625,9864,brain_guild_split,0.5673076923076923,0.17404690561877614,0.25,0.8846153846153846,0.25,0.5384615384615384,0.8846153846153846
159,52,27,0,1,0.9875,9864,AD_base,0.9821428571428572,0.9726724238945256,0.9642857142857143,1.0,0.9642857142857143,1.0,1.0
160,52,27,0,1,0.9875,9864,AD_guild,0.9821428571428572,0.9726724238945256,0.9642857142857143,1.0,0.9642857142857143,1.0,1.0
161,52,27,0,1,0.9875,9864,AD_guild_split,0.9821428571428572,0.9726724238945256,0.9642857142857143,1.0,0.9642857142857143,1.0,1.0
162,48,7,4,21,0.6875,435,clinical_base,0.5865384615384616,0.23971707251587068,0.25,0.9230769230769231,0.25,0.6363636363636364,0.9230769230769231
163,47,5,5,23,0.65,435,clinical_guild,0.5412087912087912,0.1188643277625491,0.17857142857142858,0.9038461538461539,0.17857142857142858,0.5,0.9038461538461539
164,50,5,2,23,0.6875,435,clinical_guild_split,0.570054945054945,0.23650429379443552,0.17857142857142858,0.9615384615384616,0.17857142857142858,0.7142857142857143,0.9615384615384616
165,50,4,2,24,0.675,435,brain_base,0.5521978021978021,0.18904770757413522,0.14285714285714285,0.9615384615384616,0.14285714285714285,0.6666666666666666,0.9615384615384616
